Gmt time,Open,High,Low,Close,% change
13.09.2022 16:00:00.000,157.223,157.266,156.246,156.32,-0.574343448
13.09.2022 17:00:00.000,156.291,156.757,156.137,156.303,0.007677985
13.09.2022 18:00:00.000,156.266,156.65,155.76,155.774,-0.31484776
13.09.2022 19:00:00.000,155.78,155.87,154.591,154.792,-0.634227757
13.09.2022 20:00:00.000,154.803,154.884,153.38,153.925,-0.567172471
14.09.2022 14:00:00.000,154.165,156.173,154.027,156.042,1.217526676
14.09.2022 15:00:00.000,156.067,156.585,154.878,156.542,0.304356462
14.09.2022 16:00:00.000,156.548,157.093,155.729,155.792,-0.482918977
14.09.2022 17:00:00.000,155.8,155.863,154.92,155.132,-0.428754814
14.09.2022 18:00:00.000,155.137,155.292,154.156,154.32,-0.5266313
14.09.2022 19:00:00.000,154.316,154.625,153.873,154.121,-0.126364084
14.09.2022 20:00:00.000,154.099,155.274,153.607,155.234,0.736539497
15.09.2022 14:00:00.000,154.645,155.198,154.089,154.855,0.135794885
15.09.2022 15:00:00.000,154.897,155.196,151.784,152.069,-1.825729356
15.09.2022 16:00:00.000,152.056,153.056,151.91,152.63,0.377492503
15.09.2022 17:00:00.000,152.627,153.242,152.258,153.226,0.39246005
15.09.2022 18:00:00.000,153.23,154.284,153.202,153.42,0.123996606
15.09.2022 19:00:00.000,153.433,153.435,152.305,152.382,-0.684989539
15.09.2022 20:00:00.000,152.387,152.647,151.375,152.225,-0.106308281
16.09.2022 14:00:00.000,150.582,150.582,148.37,148.46,-1.409198975
16.09.2022 15:00:00.000,148.491,150.532,148.491,148.978,0.327966005
16.09.2022 16:00:00.000,148.985,149.948,148.725,149.88,0.600731617
16.09.2022 17:00:00.000,149.85,149.903,148.665,149.404,-0.297630964
16.09.2022 18:00:00.000,149.394,149.893,149.006,149.32,-0.049533448
16.09.2022 19:00:00.000,149.331,150.803,149.252,150.503,0.784833692
16.09.2022 20:00:00.000,150.481,151.337,150.295,150.437,-0.029239572
19.09.2022 14:00:00.000,149.515,151.105,149.18,151.091,1.054074842
19.09.2022 15:00:00.000,151.122,152.385,150.566,152.088,0.639218645
19.09.2022 16:00:00.000,152.091,152.817,151.74,151.937,-0.10125517
19.09.2022 17:00:00.000,151.926,153.328,151.41,153.143,0.801047879
19.09.2022 18:00:00.000,153.169,153.438,152.688,152.952,-0.141673576
19.09.2022 19:00:00.000,152.945,153.18,152.597,153.092,0.096112982
19.09.2022 20:00:00.000,153.095,154.423,153.095,154.394,0.848492766
20.09.2022 14:00:00.000,154.173,154.85,153.602,154.744,0.370363163
20.09.2022 15:00:00.000,154.685,155.431,154.125,155.378,0.448007241
20.09.2022 16:00:00.000,155.386,157.864,155.216,157.825,1.569639478
20.09.2022 17:00:00.000,157.82,158.069,156.633,157.051,-0.487263972
20.09.2022 18:00:00.000,157.051,157.051,155.394,155.603,-0.921993493
20.09.2022 19:00:00.000,155.562,156.576,155.523,156.41,0.545120274
20.09.2022 20:00:00.000,156.41,157.723,156.205,157.163,0.481427019
21.09.2022 14:00:00.000,157.715,158.358,156.526,157.021,-0.440034239
21.09.2022 15:00:00.000,157.018,157.414,156.315,156.458,-0.356647009
21.09.2022 16:00:00.000,156.453,156.522,155.932,156.28,-0.110576339
21.09.2022 17:00:00.000,156.288,157.357,156.15,157.095,0.516354423
21.09.2022 18:00:00.000,157.093,158.032,156.961,157.825,0.46596602
21.09.2022 19:00:00.000,157.81,158.685,154.482,158.28,0.2978265
21.09.2022 20:00:00.000,158.375,158.583,154.125,154.497,-2.448618785
22.09.2022 14:00:00.000,153.085,153.517,151.667,152.119,-0.631021981
22.09.2022 15:00:00.000,152.11,153.085,151.706,151.746,-0.239300506
22.09.2022 16:00:00.000,151.736,152.245,150.896,151.826,0.059313545
22.09.2022 17:00:00.000,151.81,152.901,151.504,152.554,0.490086292
22.09.2022 18:00:00.000,152.548,152.936,151.879,152.682,0.087841204
22.09.2022 19:00:00.000,152.692,152.871,151.952,152.82,0.083828884
22.09.2022 20:00:00.000,152.815,154.382,152.815,153.317,0.328501783
23.09.2022 14:00:00.000,151.364,151.365,149.849,150.02,-0.887925795
23.09.2022 15:00:00.000,149.988,150.485,149.307,149.953,-0.0233352
23.09.2022 16:00:00.000,149.951,150.629,149.755,150.252,0.200732239
23.09.2022 17:00:00.000,150.241,150.363,149.413,150.145,-0.063897338
23.09.2022 18:00:00.000,150.166,150.311,149.447,149.703,-0.308325453
23.09.2022 19:00:00.000,149.703,149.965,148.554,148.685,-0.680013093
23.09.2022 20:00:00.000,148.686,150.529,148.662,150.182,1.006147183
26.09.2022 14:00:00.000,150.887,152.729,150.72,152.682,1.189631976
26.09.2022 15:00:00.000,152.702,153.765,152.294,152.525,-0.115912038
26.09.2022 16:00:00.000,152.521,152.822,150.919,151.887,-0.415680464
26.09.2022 17:00:00.000,151.915,152.087,150.532,151.375,-0.355461936
26.09.2022 18:00:00.000,151.376,151.427,150.037,150.1,-0.842934151
26.09.2022 19:00:00.000,150.067,151.687,150.04,151.515,0.964902344
26.09.2022 20:00:00.000,151.526,151.994,150.885,151.575,0.032337685
27.09.2022 14:00:00.000,154.093,154.66,153.287,153.921,-0.111620904
27.09.2022 15:00:00.000,153.935,154.016,152.49,153.454,-0.312469549
27.09.2022 16:00:00.000,153.462,153.55,151.526,151.565,-1.236136633
27.09.2022 17:00:00.000,151.572,151.786,149.927,151.702,0.08576782
27.09.2022 18:00:00.000,151.691,151.691,150.717,151.079,-0.403451754
27.09.2022 19:00:00.000,151.068,152.409,150.857,151.998,0.615616808
27.09.2022 20:00:00.000,152.037,152.065,151.025,151.964,-0.048014628
28.09.2022 14:00:00.000,146.395,146.605,144.829,145.809,-0.400286895
28.09.2022 15:00:00.000,145.786,147.415,145.157,146.21,0.290837255
28.09.2022 16:00:00.000,146.239,147.41,146.072,147.36,0.766553382
28.09.2022 17:00:00.000,147.365,147.75,146.935,147.745,0.257863129
28.09.2022 18:00:00.000,147.745,148.354,147.204,147.394,-0.237571491
28.09.2022 19:00:00.000,147.395,149.085,147.347,148.799,0.952542488
28.09.2022 20:00:00.000,148.783,150.643,148.736,150.327,1.037752969
29.09.2022 14:00:00.000,146.095,146.231,143.729,144.098,-1.366918786
29.09.2022 15:00:00.000,144.088,144.278,142.722,143.2,-0.616290045
